procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYA INDUSTRIAL ESTATES,TNO.RFP/KIE/02/2015-2016,PROVISION OF GENERAL INSURANCE SERVICES,"M/S CIC GENERAL INSURANCE LIMITED,  P.O.BOX 59485-00200,  NAIROBI  KENYA","9,291,728.00",Open tender,5/16/2015,6/15/2015,6/30/2015,6/30/2016,11,10,66
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/SILO-DRYER/MAINT/01/2014-2015,Provision of Regular Maintenance & Servicing of Dryers & Silo Equipments,DRONESRIDGE ENTERPRISES LTD,"16,239,624.25",Open tender,3/18/2015,4/29/2015,5/12/2015,5/12/2016,6,3,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,"EBU/34/2014-15; LOT 1 -4x4 LWB, 2400-3000cc (Diesel) Double Cabin Pick Ups with towing winch","PROCUREMENT OF 38NO.  DOUBLE CAB DIESEL MOTOR VEHICLES AND 7NO. 6(six) TON TRACTORS COMPLETE WITH TRAILERS, 1NO.  HARD BODY CARAVAN AND 73NO. MOTOR CYCLES",Toyota Kenya,"62,853,254.00",Open tender,8/20/2014,12/29/2014,1/29/2015,6/15/2015,0,23,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,"EBU/35/2014-15 LOT 2 - 4x4 LWB, 2400-3000cc (Diesel) Double Cabin Pick Ups","PROCUREMENT OF 38NO.  DOUBLE CAB DIESEL MOTOR VEHICLES AND 7NO. 6(six) TON TRACTORS COMPLETE WITH TRAILERS, 1NO.  HARD BODY CARAVAN AND 73NO. MOTOR CYCLES",Toyota Kenya,"90,432,820.00",Open tender,8/20/2014,12/29/2014,1/29/2015,6/27/2015,0,23,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,"EBU/34/2014-15; Lot 3- 4x4, 70-80HP, 4000-4500 cc, Diesel Agricultural Tractors Complete With Non Ti","PROCUREMENT OF 38NO.  DOUBLE CAB DIESEL MOTOR VEHICLES AND 7NO. 6(six) TON TRACTORS COMPLETE WITH TRAILERS, 1NO.  HARD BODY CARAVAN AND 73NO. MOTOR CYCLES",Toyota Kenya,"31,053,397.00",Open tender,8/20/2014,12/29/2014,1/29/2015,6/27/2015,0,23,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,"EBU/34/2014-15; Lot 4- Motor Cycle, Trail, 170 - 200cc","PROCUREMENT OF 38NO.  DOUBLE CAB DIESEL MOTOR VEHICLES AND 7NO. 6(six) TON TRACTORS COMPLETE WITH TRAILERS, 1NO.  HARD BODY CARAVAN AND 73NO. MOTOR CYCLES TENDER NO.","Car & General (K) Ltd, P.O. Box 20001 00200 Nairobi","21,170,000.00",Open tender,8/20/2014,12/29/2014,1/29/2015,6/12/2015,0,23,66
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA-3/PT/46/14-15,SUPPLY  OF 10M CONCRETE POLES,MAKUYU CONCRETE PRODUCTS LTD,"8,352,000.00",Open tender,3/5/2015,4/16/2015,4/30/2015,5/26/2015,13,9,66
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA-3/PT/46/14-15,SUPPLY  OF 10M CONCRETE POLES,CP POWER EAST AFRICA LTD,"13,383,000.00",Open tender,3/5/2015,4/16/2015,4/30/2015,6/27/2015,13,9,66
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA-3/PT/46/14-15,SUPPLY  OF 10M CONCRETE POLES,WORLD POLES LTD,"16,770,700.00",Open tender,3/5/2015,4/16/2015,4/30/2015,6/19/2015,13,9,66
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA-3/PT/46/14-15,SUPPLY  OF 10M CONCRETE POLES,REGIONAL ROYAL TRANSMISSION,"5,980,000.00",Open tender,3/5/2015,4/16/2015,4/30/2015,6/19/2015,13,9,66
KENYA RAILWAY CORPORATION,TENDER NO. KRC/PLM/013/14-15,PROPOSED REHABILITATION OF 36NO. RESIDENTIAL UNITS IN KISUMU CITY(NYALENDA PHASE V),M/S SNOW CONSTRUCTION ENGINEERS LTD,"34,793,721.50",Open tender,2/17/2015,4/20/2015,6/18/2015,12/23/2015,13,13,66
KENYA RAILWAY CORPORATION,TENDER NO. KRC/PLM/014/14-15,SUPPLY AND DELIVERY OF THREE (3) PORTABLE ELECTRONIC WHEEL PROFILE GAUGE,M/S GAZEBO INDUSTRIES LTD,"5,916,747.62",Open tender,2/17/2015,4/20/2015,5/21/2015,7/21/2015,5,5,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,EBU/35/2014-15; Tight Lock Mesh Wire,SUPPLY OF ELECTRIC FENCE MATERIALS FOR MT. KENYA FOREST,GALLAGHER POWER FENCE SYSTEMS P.O BOX 58406-00100  NAIROBI,"43,994,424.00",Open tender,8/20/2014,12/31/2015,1/29/2015,5/12/2015,0,23,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,"EBU/35/2014-15; Flood Gate Controllers,Porcelain Reel &  Strain Insulators,Ring Fasteners, W-Insulat",SUPPLY OF ELECTRIC FENCE MATERIALS FOR MT. KENYA FOREST,GALLAGHER POWER FENCE SYSTEMS P.O BOX 58406-00100  NAIROBI,"12,843,612.60",Open tender,8/20/2014,12/31/2014,1/29/2015,3/14/2015,0,23,66
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,EBU/35/2014-15; 2.5mm HTS Wire,SUPPLY OF ELECTRIC FENCE MATERIALS FOR MT. KENYA FOREST,GALLAGHER POWER FENCE SYSTEMS P.O BOX 58406-00100  NAIROBI,"10,984,575.00",Open tender,8/20/2014,6/4/2015,6/10/2015,6/16/2015,0,23,66
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/SEC/01/A/2015-2017,Provision of Guarding Services & Alarm Systems for 2 years,BEDROCK HOLDING LTD,"24,360,000.00",Open tender,4/24/2015,6/9/2015,6/25/2015,6/30/2017,30,28,66
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/SEC/01/B/2015-2017,Provision of Guarding Services & Alarm Systems for 2 years,RACE GUARDS LTD,"39,560,640.00",Open tender,4/24/2015,6/9/2015,6/25/2015,6/30/2017,30,28,66
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/SEC/01/C/2015-2017,Provision of Guarding Services & Alarm Systems for 2 years,TOTAL SECURITY,"117,567,280.00",Open tender,4/24/2015,6/9/2015,6/25/2016,6/30/2017,30,28,67
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/FS/03/2014-2015,Supply & Delivery of 84 Fumigation Sheets,TECHNO RELIEF SERVICES,"8,232,000.00",Open tender,4/24/2015,5/29/2015,6/14/2015,7/1/2015,4,4,67
KONZA TECHNOLOGIES DEVELOPMENT AUTHORITY (KOTDA),KoTDA/044/2014-2015,Civil Engineering Services for Phase 1A Access Roads Grading at Konza Techno City,TAI ENTERPRISES LTD,"290,077,140.00",Open tender,3/11/2015,5/22/2015,6/26/2015,10/13/2015,45,24,67
KENYA ACCREDITATION SERVICE,TENDER NO.025/2015/16,PROVISION OF STAFF MEDICAL COVER,JUBILEE INSURANCE COMPANY OF KENYA LIMITED,"5,542,036.00",Open tender,4/29/2015,6/15/2015,6/30/2015,6/30/2016,19,17,67
ENERGY REGULATORY COMMISION,ERC/PROC/4/3/14-15/118,Provision of medical Insurance cover for ERC employees and Commissioners,LiaisonGroup Insutrance Brokers Ltd,"13,139,735.00",Open tender,2/6/2015,4/7/2015,5/5/2015,6/30/2017,14,14,67
ENERGY REGULATORY COMMISION,ERC/PROC/4/3/14-15/076,Provision of PR & Communication Agency services,Express DDB,"8,075,624.61",Open tender,11/10/2014,12/26/2014,2/15/2015,12/31/2016,11,9,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/282/2014-2015,Rehabilitation of Dennis Pritt Road,Saxon investment ltd,"131,056,860.90",Open tender,4/1/2015,5/29/2015,6/29/2015,3/29/2015,13,13,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/283/2014-2015,Improvement of Farasi Lane,Gekah Enterprises limited,"87,899,406.00",Open tender,4/1/2015,5/29/2015,6/26/2015,3/26/2015,11,11,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/284/2014-2015,Rehabilitation of Muhuri Road,Star General Contractors ltd,"131,031,867.54",Open tender,4/1/2015,5/29/2015,6/26/2015,3/26/2015,10,10,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/285/2014-2015,Improvement of Kuro Road,Sivad construction ltd,"81,024,770.40",Open tender,4/1/2015,5/29/2015,6/26/2015,3/26/2015,22,22,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/286/2014-2015,Improvement of Link Road (Kiambu Road – Ridgeways   Lane),Translee k limited,"40,527,732.00",Open tender,4/1/2015,5/29/2015,6/26/2015,2/26/2015,31,31,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/287/2014-2015,Improvement of Convent - Kabarserian Link Road,Risona investment ltd,"33,418,509.60",Open tender,4/1/2015,5/29/2015,6/26/2015,10/26/2015,13,13,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/288/2014-2015,Improvemento of Kasneb – Hospital Road (HOSPITAL CLOSE),Stoneridge limited,"16,934,779.68",Open tender,4/1/2015,5/29/2015,6/26/2015,10/26/2015,29,29,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/NBR/289/2014-2015,"Routine Maintenance of various roads in Eastleigh, Kayole and Dandora Areas .",Faidi limited,"29,357,361.20",Open tender,4/1/2015,5/29/2015,6/26/2015,6/26/2015,28,28,67
KENYA URBAN ROADS AUTHORITY,KURA/RMLF/HQ/281/2015-2016,"Technical And Financial Risk Assessment, Safety And Health And Fire Audits For Financial Year 2014/2015",Simis Engineering and Construction Co. Ltd,"5,971,680.00",Open tender,4/20/2015,5/29/2015,6/19/2015,8/19/2015,2,2,67
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/010/2014 - 2015,"Primary Trunk Sewer of dia 900,375 and 300 mm, about 12.7 km, Primary Sewers Manhole, No. 219, Force main of dia. 350 mm (1220 m) , plumping station ( 1 No), Secondary sewers of dia. 225mm, 41km, secondary manholes, No. 250, Sewarage treatment works, outfall dia . 900, 1.6 km associated works",Frontier Engineering Ltd,"679,574,387.30",Open tender,12/31/2014,4/30/2015,6/17/2015,12/31/2016,10,8,67
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/012/2014-2015,"Supply, delivery and laying of 6"" class D-uPVC pipes of about 2.2 km, connection to the existing system, connection to newly constructed steel storage tanks, construction of manhole chambers and washout along the pipeline.",Northern Liberty Builders Ltd,"13,795,950.00",Restricted Tender,3/3/2015,4/10/2015,4/27/2015,9/30/2015,11,5,67
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/011/2014 - 2015 - Lot 1,"Construction of Denga Afbalon Water pan, Site clearance, excavation of 20,000 M3, Construction of silt trap, rip rap, inflow and outlet channel and fencing",Blue Lime Ltd,"8,625,120.00",Open tender,4/2/2015,5/22/2015,6/18/2015,8/31/2015,10,7,67
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/011/2014 - 2015 - Lot 2,"Construction of Adjof Water Pan in Wajir South, site clearance, excavation of 20,000m3, construction of silt trap, rip rap, inflow , out floe channels and fencing.",North Pride Ltd,"9,001,986.00",Open tender,4/2/2015,5/22/2015,6/18/2015,8/30/2015,7,6,67
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/011/2014 - 2015 - Lot 3,"Construction of Nyabeel water pan in North horr, site clearance, excavation of 20,000M3, Construction of silt traps, ripraps, inflow, out flow channels and fencing",Famo Contractors Ltd,"9,417,889.00",Open tender,4/2/2015,5/22/2015,6/18/2015,8/31/2015,14,10,67
NORTHERN WATER SERVICES BOARD,NWSB/CW/T/011/2014 - 2015 - Lot 4,"Construction of Kaladah centre water pan in lagdera, site clearance, excavation of 20,000M3, Construction of silt traps, rip raps, inflow, outflow channels and fencing",Sarico Ltd,"9,424,590.00",Open tender,4/2/2015,5/22/2015,6/18/2015,8/31/2015,8,7,68
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/011/2014-2015 - Lot 5,"Construction of Arabia Water pan in Lafey -  Mandera, Site clearance, excavation of 20,000M3, Construction of silt traps, rip raps, inflow , out flow and fencing",Derrow Construction Co. Ltd,"8,832,075.00",Open tender,4/2/2015,5/22/2015,6/18/2015,8/31/2015,8,8,68
KENYA ROADS BOARD,KRB/573/2010/2011,RENEWAL OF CONTRACT FOR PROVISION OF MEDICAL AND RELATED INSURANCE BROKERAGE SERVICES,AON MINET INSURANCE BROKERS,"14,266,529.00",Open tender,5/10/2011,6/30/2015,6/30/2015,6/30/2016,19,14,68
ETHIC AND ANTI-CORRUPTION COMMISSION,EACC 26/2014/2015:,"TENDER NO  PROPOSED RENOVATION WORKS AT ACK MOMBASA MEMORIAL CATHEDRAL COMPLEX FOR E.A.C.C - ELECTRICAL INSTALLATION, CCTV, PABX, ACCESS CONTROL AND STRUCTURED CABLING WORKS",M/s Micronet Power Systems Ltd,"5,343,878.72",Open tender,11/25/2014,3/25/2015,5/20/2015,7/30/2015,10,2,68
ETHIC AND ANTI-CORRUPTION COMMISSION,EACC/T27//2014-2015,Partitioning of EACC Mombasa office at ACK Memorial Cathedral Complex,M/s Jumbo Interlinks Ltd,"14,599,041.80",Open tender,11/25/2014,3/25/2015,4/20/2015,7/30/2015,15,11,68
ETHIC AND ANTI-CORRUPTION COMMISSION,EACC/T34//2014-2015,"Supply, Installation, Configuration and Commissioning of Wireless Network (WI-FI)",M/S Cables and Accessories Ltd,"5,804,640.00",Open tender,3/20/2015,5/22/2015,6/8/2015,7/30/2015,10,8,68
ETHIC AND ANTI-CORRUPTION COMMISSION,EACC /02/2014-2015,Provision of Air ticketing Services for 2014/5 (framework contracts),M/s Silver Bird Travel Plus,"9,440,850.00",Open tender,8/11/2014,10/10/2014,11/4/2014,5/30/2014,10,6,68
EMBU UNIVERSITY COLLEGE,EUC/17/2015-2016,CONSTRUCTION OF MULTIPURPOSE HALL,BENTOL DISTRIBUTORS LTD,"13,596,164.00",Restricted Tender,6/2/2015,6/23/2015,7/8/2015,9/30/2015,28,21,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/RT 43/2014-2016,Supply of  Pharmaceuticals,Dawa Ltd,"22,168,000.00",Restricted Tender,2/3/2015,4/10/2015,5/11/2015,6/30/2015,19,12,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 1/2013-2015 (Call Down 4),Supply of Pharmaceuticals (Injectables/ Infusions),Dominion Supplies (K) Ltd,"10,497,454.80",Open tender,12/18/2013,4/30/2015,5/4/2015,7/30/2015,50,27,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 2/2013-2015 (Call Down 5),Supply of Pharmaceuticals (Tablets and Capsules),Surgilinks Ltd,"11,043,278.85",Open tender,12/18/2013,4/30/2015,5/4/2015,8/20/2015,60,31,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 3/2013-2015 (Call down 3),Supply of Pharmaceuticals (Suspensions/Syrups),Laboratory & Allied Ltd,"28,027,056.00",Open tender,12/18/2013,4/30/2015,5/4/2015,8/20/2015,43,19,68
KENYA POWER AND LIGHTING COMPANY LTD,KP5B/9A/SQ/035/15,PURCHASE OF CABLES -KP5B/9A/SQ/035/15,M/s Doshi Electricals,"8,894,045.00",Restricted Tender,3/10/2015,4/9/2015,4/20/2015,5/30/2015,10,3,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/ OIT 1/2014-2016 (Call Down 1),Procurement of Pharmaceuticals,Laboratory & Allied Ltd,"11,028,750.60",Open tender,7/21/2014,4/30/2014,5/4/2015,8/20/2015,64,33,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/ OIT 3/2014-2016 (Call Down 1),Procurement of Pharmaceuticals,Dawa Ltd,"3,298,349,665.00",Open tender,10/31/2014,4/30/2015,5/4/2015,7/31/2015,38,21,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT5/2013-2015 (Call down 1),"Supply of Non Pharmaceuticals(Catheters, Gloves, Urine Bags, Maternity Supplies & Giving Sets)",Angelica Medical Supplies Ltd,"8,343,348.00",Open tender,12/18/2013,4/30/2015,5/4/2015,8/11/2015,154,72,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/RT 67/2014 -2015,Proposed Renovation Works at KEMSA Kakamega Depot (Construction of Perimeter wall),Eldo-Rosta Construction Co. Ltd,"6,805,850.00",Restricted Tender,3/27/2015,4/30/2015,5/15/2015,7/20/2015,5,4,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/RT 68/2014 -2015,Proposed Renovation Works at KEMSA Eldoret Depot,Ultimate Roads Bridges Construction Company Ltd,"8,360,400.00",Restricted Tender,3/27/2015,4/30/2015,5/15/2015,7/31/2015,7,6,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/ONT 127/2012-2015 (Year 3),Provision of Trnsport Services to and from KEMSA Nairobi to Various Regional Depots and Health Facilities Country wide,BM Logistics Ltd,"34,181,000.00",Open tender,6/5/2012,5/8/2015,6/5/2015,6/30/2016,27,14,68
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA-2/PT/33/ITT/14-15,"SUPPLY, INSTALLATION AND COMMISSIONING OF LAN INFRASTRUCTURE FOR STIMA MALL - TENDER KP1/9AA-2/PT/33/ITT/14-15",M/s Jogian Interlink Ltd,"17,136,865.00",Open tender,2/17/2015,4/27/2015,5/7/2015,12/7/2015,26,26,68
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/ONT 127/2012-2015 (Year 3),Provision of Transport Services to and from KEMSA Nairobi to Various Regional Depots and Health Facilities Country wide,Harry & Stan Ltd,"12,990,000.00",Open tender,6/5/2012,5/8/2015,6/5/2015,6/30/2016,27,14,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/ONT 127/2012-2015 (Year 3),Provision of Transport Services to and from KEMSA Nairobi to Various Regional Depots and Health Facilities Country wid,Jihan Freighters Ltd,"18,158,640.00",Open tender,6/5/2012,5/8/2015,6/5/2015,6/30/2016,27,14,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 1/2014-2016 (Call Down 2),Supply of Pharmaceuticals,Tata Africa Holdings (Kenya) Ltd,"12,096,740.04",Open tender,7/21/2014,6/9/2015,6/16/2015,8/28/2015,64,33,69
KENYA SEED COMPANY LIMITED,KSC/T/ODB/12/2014/2015,"Supply , Delivery and Installation of Oracle Database 11g R2",Cerberus Solutions Ltd,"5,650,610.56",Open tender,2/18/2015,4/8/2015,4/30/2015,5/30/2015,9,9,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 1/2014-2016 (Call Down 2),Supply of Pharmaceuticals,Omaera Pharmaceuticals Ltd,"5,811,600.00",Open tender,7/21/2014,6/9/2015,6/16/2015,8/13/2015,64,33,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 1/2014-2016 (Call 1),Supply of Pharmaceuticals,Medina Chemicals Ltd,"29,773,347.12",Open tender,7/21/2014,6/9/2015,6/15/2015,8/12/2015,64,33,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 1/2014-2016 (Call down 2),Supply of Pharmaceuticals,Dawa Ltd,"8,869,014.00",Open tender,7/21/2014,6/9/2015,6/16/2015,8/12/2015,64,33,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT3/2014-2016 (Call Down 1),Supply of Pharmaceuticals,Dawa Ltd,"36,554,201.38",Open tender,10/3/2014,6/9/2015,6/15/2015,8/12/2015,27,15,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/RT 4/2014-2016 (Call Down 1),Supply of Anti- Snake Venom Serum Inj.(Polyvalent)-10ml Ampoule,Pharma Specialities Ltd,"19,585,781.70",Restricted Tender,11/6/2014,6/9/2015,6/16/2015,8/26/2015,3,2,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT6/2013-2015 (Call down 3),"Supply of Non Pharmaceuticals(Surgical Dressings, Plaster Of Paris, Tapes)",Harleys Limited,"48,205,274.27",Open tender,12/18/2013,6/9/2015,6/3/2015,8/28/2015,154,72,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT6/2013-2015 (Call down 4),"Supply of Non Pharmaceuticals(Surgical Dressings, Plaster Of Paris, Tapes)",Harleys Limited,"8,030,451.13",Open tender,12/18/2013,6/9/2015,6/17/2015,8/28/2015,154,72,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT8/2013-2015 (Call Down 2),Supply of Non Pharmaceuticals(Sutures and Syringes),Sai Pharmaceuticals Ltd,"27,715,543.46",Open tender,12/18/2013,6/9/2015,6/17/2015,8/28/2015,113,40,69
KENYA SEED COMPANY LIMITED,KSC/T/SWS/11/2014/2015,Supply and Installation of weighbridge smart weighment system,Amity Software Inc,"9,629,460.00",Open tender,2/18/2015,5/13/2015,6/5/2015,9/5/2015,6,6,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT8/2013-2015 (Call Down 3),Supply of Non Pharmaceuticals(Sutures and Syringes),Bakpharm Ltd,"11,352,737.58",Open tender,12/18/2013,6/9/2015,6/22/2015,8/12/2015,113,40,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT8/2013-2015 (Call Down 3),Supply of Non Pharmaceuticals(Sutures and Syringes),Revital Healthcare (EPZ) Ltd,"11,352,737.58",Open tender,12/18/2013,6/9/2015,6/17/2015,8/13/2015,113,40,69
KENYA SEED COMPANY LIMITED,KSC/T/AS/15/2014/2015,Provision of Aerial Spraying services,Airspray Kenya Ltd,"10,683,600.00",Open tender,5/28/2015,6/24/2015,7/7/2015,7/30/2016,1,1,69
KENYA SEED COMPANY LIMITED,KSC/T/AVS/10/2014/2015,Provision of Asset Valuation Services,Highland Valuers,"6,690,000.00",Open tender,2/18/2015,5/8/2015,6/15/2015,9/30/2015,15,15,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 2/2014-2016  (Call Down 1),Supply of Non Pharmaceuticals,Access Alliance Ltd,"8,604,300.00",Open tender,12/18/2013,6/9/2015,6/16/2015,8/11/2015,113,40,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-RT1-2014/2016  (Call Down 1),Supply of Non Pharmaceuticals,Sundales International Ltd,"22,128,624.00",Restricted Tender,9/16/2014,6/9/2015,6/16/2015,8/12/2015,10,10,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/OIT 2/2013-2015 (Call Down 2),Supply of Pharmaceuticals (Tablets and Capsules),Tata Africa Holdings (Kenya) Ltd,"12,096,740.04",Open tender,12/18/2013,6/9/2015,6/16/2015,8/28/2015,60,31,69
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA/RT 43/2014-2016,Supply of Pharmaceuticals,Medivet Products Ltd,"15,418,765.35",Restricted Tender,2/3/2015,4/10/2015,5/11/2015,9/12/2015,19,12,70
KENYA BUREAU OF STANDARDS,KEBS/T073/2014/2015,"SUPPLY, DELIVERY, INSTALLATION AND USER TRAINING OF LABORATORY EQUIPMENT - LOW FREQUENCY VIBRATION SYSTEM",WORLD ELECTRONICS COMPANY LTD,"14,665,092.75",Open tender,3/23/2015,6/5/2015,7/6/2015,8/31/2015,47,35,70
KENYA BUREAU OF STANDARDS,KEBS/T073/2014/2015,"SUPPLY, DELIVERY, INSTALLATION AND USER TRAINING OF LABORATORY EQUIPMENT - AUTOMATIC HYDROSTATIC HEAD TESTER",STIVEK AGOMA (EA) LTD,"6,594,320.00",Open tender,3/23/2015,6/5/2015,6/25/2015,8/31/2015,47,34,70
KIBABII UNIVERSITY COLLEGE,KIBUCO:EOI/001/2014-2015,"SUPPLY, INSTALLATION, CONFIGURATION,TRAINING AND COMMISSIONING OF AN ENTERPRISE RESOURCE PLANNING SOLUTION",ABNO SOFTWARES INTERNATIONAL LTD,"27,144,000.00",Expression of Interest,1/27/2015,6/4/2015,7/6/2015,4/30/2017,0,12,70
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/NRB/60/2014-2015,EMERGENCY WORKS ON A2 JUNCTION – GIGIRI SECTION OF LIMURU (C62) ROAD,M/s Duale Investment Limited Ltd,"13,044,865.00",Restricted Tender,5/19/2015,6/15/2015,6/24/2015,7/24/2015,10,7,70
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/NRB/59/2014-2015,EMERGENCY WORKS ON LIKONI – MUSEUM HILL SECTION OF MOMBASA (A104) ROAD,M/s Gragab Agencies Ltd,"17,966,428.00",Restricted Tender,5/15/2015,6/5/2015,6/18/2015,7/22/2015,10,6,70
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/NRB/58/2014-2015,EMERGENCY WORKS ON JKIA – LIKONI SECTION OF MOMBASA (A104) ROAD,M/s Kiu Construction Company Ltd,"19,141,276.00",Restricted Tender,5/15/2015,6/5/2015,6/15/2015,7/15/2015,10,7,70
KENYA MEDICAL SUPPLIES AUTHORITY,GF ATM - RD9 PH2 TB SSF-14/15 -ONT-003-I001/1000347,Supply and Delivery of Protective Gear,Amiken Limited,"9,760,905.00",Open tender,3/3/2015,6/22/2015,7/7/2015,9/21/2015,76,24,70
KENYA MEDICAL SUPPLIES AUTHORITY,GF ATM RD10 PH2 HIV SSF - 14/15-OIT-012,Supply and Delivery of Arv's Adult - (II),Hetero Labs Limited,"2,145,060,259.65",Open tender,3/3/2015,6/18/2015,7/2/2015,9/30/2015,11,10,70
KENYA MEDICAL SUPPLIES AUTHORITY,GF ATM RD10 PH2 HIV SSF - 14/15-OIT-012,Supply and Delivery of Arv's Adult - (II),Mylan Laboratories Limited,"62,284,834.26",Open tender,3/3/2015,6/18/2015,7/2/2015,9/30/2015,11,10,70
AGRO CHEMICAL AND FOOD COMPANY LIMITED,TC2/04/2015/1,Purchase of Silicon Defoaming Compound G2000 -32000Kgs,Bussette & Company GmbH,"13,397,253.12",Restricted Tender,3/27/2015,4/17/2015,4/21/2015,5/20/2015,2,2,70
AGRO CHEMICAL AND FOOD COMPANY LIMITED,TC/06/2015/1,Purchase of Sulphuric Acid (Technical Grade) in Bulk,Pan Africa Chemicals Ltd,"7,830,000.00",Direct Procurement,5/22/2015,6/8/2015,6/9/2015,6/30/2015,1,1,70
AGRO CHEMICAL AND FOOD COMPANY LIMITED,TC/06/2015/4,Purchase of 25Litre/20Kg Jerrycans for ADY Packaging,BLOWPLAST LTD,"9,396,000.00",Restricted Tender,5/22/2015,6/8/2015,7/2/2015,7/31/2015,5,4,70
AGRO CHEMICAL AND FOOD COMPANY LIMITED,TC/063/2015/3,"Purchase of TOYOTA RAV4 ASA44R-ANFGKQ, 6 SPEED MANUAL FULL TIME 4WD",Royota Kenya Ltd,"6,061,350.30",Restricted Tender,4/2/2015,7/9/2015,8/8/2015,6/30/2016,7,3,70
KENYA MEDICAL SUPPLIES AUTHORITY,GF ATM RD10 PH2 HIV SSF-14/15-OIT-013,Supply and Delivery of ARV's Drugs - Paediatrics (II),Mylan Laboratories Limited,"1,537,857,375.12",Open tender,3/3/2015,6/26/2015,7/9/2015,3/30/2016,12,9,70
